Name,"Team","Position","DateStart","DateEnd","NumberOfGames","Minutes","Goal","Assist","ChanceAssist","KeyPass","KeyLoss","DuelLossInBox","DuelLossOutBox","MissBlockShot","RescueAction","Finalization","KeyIndividualAction","KeyRecover","DuelWinInBox","BlockShot","PktOff","PktDef"
Kacper Cecuła (09),U-19,PŚO,2025-10-18,2025-10-19,1,90,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
Kacper Cecuła (09),U-19,PŚO,2025-10-25,2025-10-26,2,130,0,0,0,0,-2,0,-1,0,2,0,2,0,0,0,0,1
Kacper Cecuła (09),U-19,PŚO,2025-10-29,2025-10-29,2,160,3,0,0,0,-2,0,0,0,0,0,0,0,0,2,1,2
Kacper Cecuła (09),U-19,PŚO,2025-11-08,2025-11-09,1,90,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1
Kacper Cecuła (09),U-19,PŚO,2025-11-14,2025-11-16,1,90,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
Kacper Cecuła (09),U-19,PŚO,2025-11-21,2025-11-23,1,50,3,0,0,0,0,-2,0,0,0,0,0,0,0,1,3,-1
Kacper Cecuła (09),U-19,PŚO,2025-12-06,2025-12-07,2,100,0,0,0,0,-2,0,0,0,0,0,0,0,0,2,-2,2
Kacper Cecuła (09),U-19,PŚO,2025-12-13,2025-12-14,1,60,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Kacper Czekański (07),U-19,ŚO,2025-09-20,2025-09-21,1,58,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0
Kacper Czekański (07),U-19,ŚO,2025-09-29,2025-09-30,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kacper Czekański (07),U-19,ŚO,2025-10-04,2025-10-05,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kacper Czekański (07),U-19,ŚO,2025-10-11,2025-10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kacper Czekański (07),U-19,ŚO,2025-10-18,2025-10-19,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kacper Czekański (07),U-19,ŚO,2025-10-25,2025-10-26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kacper Czekański (07),U-19,ŚO,2025-12-06,2025-12-07,1,60,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
Kacper Czekański (07),U-19,ŚO,2025-12-13,2025-12-14,1,60,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Kajetan Feliks (09),U-19,PW/LW,2025-09-20,2025-09-21,1,90,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Kajetan Feliks (09),U-19,PW/LW,2025-09-29,2025-09-30,1,60,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Kajetan Feliks (09),U-19,LW/PW,2025-10-04,2025-10-05,1,90,0,2,0,0,0,0,0,0,0,2,0,0,0,0,4,0
Kajetan Feliks (09),U-19,LW/PW,2025-10-11,2025-10-12,1,60,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0
Kajetan Feliks (09),U-19,LW/PW,2025-10-18,2025-10-19,1,60,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Kajetan Feliks (09),U-19,PW/LW,2025-10-25,2025-10-26,2,135,0,2,0,0,0,0,0,0,0,1,2,0,0,0,5,0
Kajetan Feliks (09),U-19,PW/LW,2025-10-29,2025-10-29,2,75,0,2,2,0,0,0,0,0,0,1,2,0,0,0,7,0
Kajetan Feliks (09),U-19,LW/PW,2025-11-08,2025-11-09,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kajetan Feliks (09),U-19,PW/LW,2025-11-21,2025-11-23,1,60,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
Kajetan Feliks (09),U-19,PW/LW,2025-12-06,2025-12-07,2,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kajetan Feliks (09),U-19,PW/LW,2025-12-13,2025-12-14,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krzysztof Nita (08),U-19,PŚO,2025-09-20,2025-09-21,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krzysztof Nita (08),U-19,PŚO,2025-09-29,2025-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krzysztof Nita (08),U-19,PŚO,2025-10-04,2025-10-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krzysztof Nita (08),U-19,PŚO,2025-10-11,2025-10-12,1,90,0,0,0,0,-4,-6,0,0,0,0,0,0,0,1,-4,-5
Krzysztof Nita (08),U-19,PŚO,2025-10-18,2025-10-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krzysztof Nita (08),U-19,PŚO,2025-10-29,2025-10-29,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krzysztof Nita (08),U-19,PŚO,2025-11-08,2025-11-09,1,40,0,0,0,0,-2,0,-1,0,0,0,0,0,0,1,-2,0
